TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS5D02G045700,ARF,1,1,0,0
TraesCS6A02G113000,ARF,1,0,1,1
TraesCS6B02G141300,ARF,1,2,-1,1
TraesCS7A02G252000,ARF,1,1,0,0
TraesCS7A02G475700,ARF,1,2,-1,1
TraesCS7B02G138900,ARF,1,0,1,1
TraesCS7B02G316600,ARF,1,1,0,0
TraesCS7B02G363100,ARF,1,0,1,1
TraesCS7D02G463000,ARF,1,1,0,0
TraesCS2D02G245500,ARID,1,0,1,1
TraesCS6A02G189700,ARID,1,1,0,0
TraesCS6B02G218500,ARID,1,0,1,1
TraesCS6B02G308000,ARID,1,0,1,1
TraesCS2D02G270100,AS2/LOB,1,0,1,1
TraesCS3B02G106900,AS2/LOB,1,5,-4,4
TraesCS3D02G091700,AS2/LOB,1,2,-1,1
TraesCS4A02G067300,AS2/LOB,1,1,0,0
TraesCS4B02G224600,AS2/LOB,1,1,0,0
TraesCS4B02G361200,AS2/LOB,1,6,-5,5
TraesCS4D02G354100,AS2/LOB,1,16,-15,15
TraesCS4B02G230700,BBR/BPC,1,0,1,1
TraesCS4D02G231900,BBR/BPC,1,0,1,1
TraesCS2D02G199900,BES1,1,3,-2,2
TraesCS4D02G006100,BES1,1,0,1,1
TraesCS7D02G368000,BES1,1,1,0,0
TraesCS1B02G100400,bHLH,1,0,1,1
TraesCS1A02G083000,bHLH,1,0,1,1
TraesCS1A02G102400,bHLH,1,1,0,0
TraesCS1A02G193200,bHLH,1,0,1,1
TraesCS1B02G113100,bHLH,1,0,1,1
TraesCS1B02G208000,bHLH,1,0,1,1
TraesCS1D02G084200,bHLH,1,1,0,0
TraesCS1D02G196900,bHLH,1,0,1,1
TraesCS2A02G253900,bHLH,1,1,0,0
TraesCS2B02G273500,bHLH,1,3,-2,2
TraesCS2B02G483300,bHLH,1,1,0,0
TraesCS2D02G254400,bHLH,1,1,0,0
TraesCS3A02G142900,bHLH,1,15,-14,14
TraesCS3A02G204800,bHLH,1,1,0,0
TraesCS3B02G476000,bHLH,1,3,-2,2
TraesCS3D02G210600,bHLH,1,1,0,0
TraesCS4A02G060200,bHLH,1,0,1,1
TraesCS4B02G056600,bHLH,1,1,0,0
TraesCS5A02G264800,bHLH,1,3,-2,2
TraesCS5A02G376500,bHLH,1,3,-2,2
TraesCS5A02G420200,bHLH,1,4,-3,3
TraesCS5B02G264300,bHLH,1,0,1,1
TraesCS5B02G380200,bHLH,1,2,-1,1
TraesCS5B02G422000,bHLH,1,4,-3,3
TraesCS5D02G272800,bHLH,1,0,1,1
TraesCS5D02G386500,bHLH,1,1,0,0
TraesCS5D02G428400,bHLH,1,4,-3,3
TraesCS6A02G288100,bHLH,1,0,1,1
TraesCS6A02G358400,bHLH,1,1,0,0
TraesCS6D02G270900,bHLH,1,1,0,0
TraesCS6D02G341200,bHLH,1,2,-1,1
TraesCS6D02G357700,bHLH,1,0,1,1
TraesCS7A02G245800,bHLH,1,0,1,1
TraesCS7A02G311800,bHLH,1,2,-1,1
TraesCS7A02G340300,bHLH,1,0,1,1
TraesCS7A02G543300,bHLH,1,0,1,1
TraesCS7B02G026300,bHLH,1,2,-1,1
TraesCS7B02G211600,bHLH,1,4,-3,3
TraesCS7B02G251900,bHLH,1,0,1,1
TraesCS7D02G244300,bHLH,1,1,0,0
TraesCS7D02G308300,bHLH,1,0,1,1
TraesCS7D02G347900,bHLH,1,0,1,1
TraesCS2A02G251100,bHLH_TCP,1,2,-1,1
TraesCS2B02G265800,bHLH_TCP,1,3,-2,2
TraesCS2D02G252100,bHLH_TCP,1,4,-3,3
TraesCS3A02G436100,bHLH_TCP,1,1,0,0
TraesCS3B02G470700,bHLH_TCP,1,0,1,1
TraesCS3D02G146900,bHLH_TCP,1,1,0,0
TraesCS3D02G428700,bHLH_TCP,1,1,0,0
TraesCS5A02G031900,bHLH_TCP,1,3,-2,2
TraesCS5A02G121800,bHLH_TCP,1,2,-1,1
TraesCS5B02G516200,bHLH_TCP,1,0,1,1
TraesCS5D02G040100,bHLH_TCP,1,1,0,0
TraesCS6A02G412800,bHLH_TCP,1,1,0,0
TraesCS6B02G462100,bHLH_TCP,1,5,-4,4
TraesCS6D02G397000,bHLH_TCP,1,1,0,0
TraesCS2B02G372000,C2C2_CO-like,1,1,0,0
TraesCS2D02G351900,C2C2_CO-like,1,1,0,0
TraesCS4B02G045700,C2C2_CO-like,1,2,-1,1
TraesCS4D02G046200,C2C2_CO-like,1,3,-2,2
TraesCS5B02G163500,C2C2_CO-like,1,2,-1,1
TraesCS6B02G179000,C2C2_CO-like,1,1,0,0
TraesCS7A02G218600,C2C2_CO-like,1,0,1,1
TraesCS7D02G220300,C2C2_CO-like,1,0,1,1
TraesCS1A02G334100,C2C2_Dof,1,0,1,1
TraesCS1B02G347400,C2C2_Dof,1,1,0,0
TraesCS1D02G336600,C2C2_Dof,1,1,0,0
TraesCS2A02G225900,C2C2_Dof,1,1,0,0
TraesCS2A02G590800,C2C2_Dof,1,1,0,0
TraesCS2A02G591000,C2C2_Dof,1,2,-1,1
TraesCS2A02G591200,C2C2_Dof,1,0,1,1
TraesCS2B02G118000,C2C2_Dof,1,0,1,1
TraesCS2B02G249200,C2C2_Dof,1,0,1,1
TraesCS2B02G592600,C2C2_Dof,1,6,-5,5
TraesCS2B02G592800,C2C2_Dof,1,2,-1,1
TraesCS2D02G563100,C2C2_Dof,1,1,0,0
TraesCS2D02G563200,C2C2_Dof,1,1,0,0
TraesCS3A02G180600,C2C2_Dof,1,1,0,0
TraesCS3A02G532000,C2C2_Dof,1,0,1,1
TraesCS3D02G185500,C2C2_Dof,1,2,-1,1
TraesCS4D02G285100,C2C2_Dof,1,1,0,0
TraesCS5A02G251800,C2C2_Dof,1,0,1,1
TraesCS5B02G249800,C2C2_Dof,1,0,1,1
TraesCS5D02G259700,C2C2_Dof,1,0,1,1
TraesCS6A02G287700,C2C2_Dof,1,0,1,1
TraesCS6B02G270100,C2C2_Dof,1,0,1,1
TraesCS6B02G317100,C2C2_Dof,1,0,1,1
